Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Training Time,Inference Time
0,0.8698704946169449,0.8082819075205538,0.7612114012206953,0.7567521707377797,0.9967823869066782,33.30197787284851,6.584686651897981e-05
1,0.8723001136794241,0.7950097214821792,0.773065624918027,0.7756566848778734,0.9965534858979753,62.435669898986816,5.249125165169598e-05
2,0.8815925542916235,0.8185516280466028,0.7960829641381384,0.7886909722229688,0.9976911244590406,41.03692436218262,7.791524917986507e-05
3,0.8972586961529602,0.8545952714608345,0.8444145429615818,0.8458388594880656,0.996575384279613,20.50808882713318,6.4038483400659e-05
4,0.968421052631579,0.9031049497821693,0.8937561176302808,0.8867025986329277,0.9976271427548161,5.147987127304077,5.9229449221962375e-05
5,0.8678731582319026,0.8179453588064035,0.7741081909228914,0.7741504816904556,0.9971906942525142,75.66869473457336,7.329538493183925e-05
6,0.8700737808169876,0.8094220018510694,0.7714212051087747,0.7748150194055502,0.9968112188501103,77.59371089935303,8.241491436164586e-05
7,0.8906825758905071,0.7646351252246917,0.756519925075306,0.7520062532652948,0.9971657403353259,40.9875373840332,6.842855864145146e-05
8,0.9682080924855492,0.9473306070393449,0.91602384543561,0.9259063696757638,0.994084112653399,18.515387535095215,0.00013300449172885432
9,0.8732193732193733,0.8403790935049369,0.8060171714043385,0.8072802040549978,0.9972726922676339,22.096168279647827,7.197650215419075e-05
10,0.9322414900449583,0.9127374839291701,0.8706005060006609,0.8762203151298189,0.99764305056287,9.48619532585144,6.695971247012139e-05
11,0.8764695859601295,0.8078114669340082,0.7706880404117048,0.7671385189150408,0.9959970056783913,40.99047541618347,6.681171871568138e-05
12,0.9154065307911462,0.8691917654733234,0.8565589117359305,0.8578453405043354,0.9977841422779734,46.40680241584778,0.00015917097087912775
13,0.9386873920552677,0.912122711867445,0.8990770428641153,0.9003173169416346,0.9983215350585649,9.049986600875854,0.00010343680933555379
14,0.9814814814814815,0.9705610021786493,0.97,0.9697942137331141,0.9991722408026755,18.80400323867798,0.0001862045423484143
15,0.9755395683453237,0.9631272145020298,0.9655191285264246,0.9631819814237328,0.99931748117708,24.025247812271118,8.406330355637365e-05
16,0.9550295857988166,0.9574938458480815,0.9551901887162875,0.9552881373760116,0.9990029542347064,7.850127696990967,0.00011834054303592479
17,0.9548095545513234,0.8925636435153808,0.8569461830292715,0.8585746812818523,0.9983762545680908,10.268955707550049,8.148459021394064e-05
18,0.9377643504531722,0.9031423201340528,0.8587011859495846,0.8627818991604375,0.9980081323502602,9.359061002731323,7.522646394020841e-05
19,1.0,1.0,1.0,1.0,1.0,0.1379256248474121,0.00033553698767534634
20,0.8994832041343669,0.8389767203854207,0.8425171808613973,0.8372513190751277,0.9975294264272,54.01218271255493,6.161740275932528e-05
21,0.8656411866269031,0.7849705870226865,0.7738789976468577,0.7687372369911112,0.9969103585765148,69.95325517654419,6.992598752027927e-05
22,0.9892818863879957,0.9875469047383215,0.9820050632588558,0.9846632392211854,0.9999135907227176,0.8627898693084717,9.647749627901427e-05
23,0.890016570008285,0.7942595920159307,0.7581476108842876,0.7597048004706408,0.9961037489919194,21.378638982772827,6.13957470670256e-05
24,1.0,1.0,1.0,1.0,1.0,3.096451997756958,0.00026782170722359106
